Número de extracción;Fecha;Duración (h);Hora inicial alimentación;Hora  final alimentación;pH inicial licor liviano;Claridad inicial licor liviano (NTU);RF R1;RF R2;RF R3;RF R4;RF R5;RF R6;RF R7;RF R8;RF R9;RF R10;RF R11;RF R12;RF R13;RF R14;RF R15;RF R16;RF R17;RF R18;RF R19;RF R20;RF R21;RF R22;RF R23;RF R24;RF R25;RF R26;RF R27;Residuo total (in);Residuo total (kg);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
150;2018-06-10;24:10:00;20:00;15:30;2,90;35;1;1;2;2;;0,5;0,5;1;1;1;1;3;2;0,5;0,5;1;1;1;1;0,5;0,5;0,5;4;0,5;0,5;0,5;;28,0;936;59,5;1,2;563;0;0:00;0:00;25;11.174;447;94;4,90;4,0;90;10:30;12:00;25;11.174;116;10;5,61;1,0;60;4:00;5:00;2;0,5;20;5.930;190;28;5,20;3,20;13;0,0;676;0;0:00;0:00;28;9.340;299;45;4,80;3,20;120;8:00;10:00;25;9.424;377;39;5,10;4,00;;
151;2018-06-11;22:15:00;21:15;15:00;2,86;42;0,5;0,5;2;7;1;1;0,5;0,5;1;4;5;0,5;7;0,5;0,5;1;1;1;1;0,5;0,5;0,5;0,5;0,5;0,5;0,5;;39,0;825;17,0;4,0;723;0;0:00;0:00;24;11.222;359;86;5,01;3,2;120;14:00;16:00;20;11.361;364;33;5,14;3,2;60;6:00;8:00;4;0,5;24;5.779;208;70;5,31;3,60;11;0,0;608;;0:00;0:00;32;9.206;258;58;4,92;2,80;150;10:00;12:00;32;9.206;350;42;5,05;3,80;;
152;2018-06-12;23:10:00;20:00;16:00;3,02;53;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;0,5;0,5;0,5;0,5;1;1;1;1;1;1;1;1;27,0;856;31,5;1,1;580;0;0:00;0:00;38;10.734;172;66;4,91;1,6;120;0:30;2:30;20;11.350;409;45;4,55;3,6;90;0:00;1:30;4;1,0;15;6.140;187;74;4,68;3,04;12;0,0;935;0;0:00;0:00;25;9.424;498;72;4,84;5,28;150;4:00;6:30;25;9.424;437;74;4,94;4,64;;
153;2018-06-13;23:00:00;21:00;17:00;2,96;20;0,5;0,5;0,5;0,5;;0,5;2;1;0,5;2;1;0,5;0,5;0,5;3;0,5;0,5;0,5;0,5;0,5;0,5;0,5;1;1;1;;1;21,0;2.177;;;;;;;;;;;;;;;;;;0;;;;;;;2;1,0;;;;;;;14;0,0;;;;;;;;;;;;;;;;0;;;;;
154;2018-06-14;23:00:00;22:00;18:00;2,98;37;1;0,5;2;3;0,5;0,5;2;;1;0,5;1;2;3;2;1;0,5;0,5;0,5;0,5;2;2;1;1;0,5;2;;1;31,5;1.325;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;15;0,0;;;;;;;;;;;;;;;;0;;;;;
155;2018-06-15;24:00:00;22:00;16:00;2,86;40;1;1;1;2;0;0;0;;1;1;1;4;7;0;;0,5;0,5;0,5;0,5;0,5;0,5;0;0,5;0;0;;0,5;23,0;2.095;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;12;0,0;;;;;;;;;;;;;;;;0;;;;;
156;2018-06-16;20:55:00;23:00;18:00;3,15;92;1;1;1;1;1;1;1;;1;1;1;1;1;1;;1;1;1;1;0,5;0,5;1;1;1;1;;1;23,0;1.656;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;8;0,0;;;;;;;;;;;;;;;;0;;;;;
157;2018-06-17;22:15:00;23:00;17:00;3,00;32;1;1;1;2;1;1;1;1;1;2;2;1;1;1;1;0,5;1;0,5;1;1;1;1;1;1;1;;1;28,0;1.642;;;;;;;;;;;;;;;;;;0;;;;;;;4;0,5;;;;;;;13;0,0;;;;;;;;;;;;;;;;0;;;;;
158;2018-06-18;22:50:00;23:30;16:30;2,83;24;1;1;2;2;1;1;1;1;1;2;2;1;1;1;1;0,5;0,5;0,5;1;1;1;1;1;1;1;;;27,5;2.031;;;;;;;;;;;;;;;;;;0;;;;;;;3;1,0;;;;;;;13;0,0;;;;;;;;;;;;;;;;0;;;;;
159;2018-06-19;24:00:00;23:00;17:00;3,02;40;2;1;2;;1;1;1;2;2;1;;1;1;1;1;0,5;0,5;0,5;0,5;2;2;2;2;2;2;;;31,0;2.184;;;;;;;;;;;;;;;;;;0;;;;;;;2,5;0,8;;;;;;;18;0,0;;;;;;;;;;;;;;;;0;;;;;
160;2018-06-20;25:30:00;0:30;20:00;3,00;28;0,5;0,5;2;0,5;1;1;1;1;0,5;0,5;;0,5;4;0,5;0,5;0;0;0;0;1;1;1;1;1;1;1;;21,0;1.607;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,6;;;;;;;19;0,0;;;;;;;;;;;;;;;;0;;;;;
161;2018-06-21;26:00:00;4:00;1:00;2,33;48;;1;1;1;10;4;1;;1;1;;1;1;1;1;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;;0,5;29,5;3.349;;;;;;;;;;;;;;;;;;0;;;;;;;0;0,5;;;;;;;11;0,0;;;;;;;;;;;;;;;;0;;;;;
162;2018-06-22;23:00:00;7:00;2:00;3,02;104;0,5;0,5;0,5;0,5;;0,5;0,5;0,5;0,5;0,5;0,5;0,5;;0,5;0,5;1;1;1;1;3;1;2;1;1;1;1;1;21,5;3.064;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,0;;;;;;;15;0,0;;;;;;;;;;;;;;;;0;;;;;
163;2018-06-23;22:30:00;8:00;2:00;3,28;125;0,5;0,5;1;1;;0,5;0,5;0,5;0,5;1;1;1;;0,5;0,5;0,5;0,5;0,5;0,5;1;1;2;1;2;1;2;2;23,0;1.798;;;;;;;;;;;;;;;;;;0;;;;;;;4;0,5;;;;;;;23;0,0;;;;;;;;;;;;;;;;0;;;;;
164;2018-06-24;23:30:00;8:00;2:00;2,93;137;0,5;0,5;1;2;;1;1;0,5;0,5;0,5;0,5;2;;1;1;0,5;0,5;0,5;0,5;1;1;4;4;5;5;1;1;36,0;1.988;;;;;;;;;;;;;;;;;;0;;;;;;;2;1,0;;;;;;;34;0,0;;;;;;;;;;;;;;;;0;;;;;
165;2018-06-25;33:00:00;9:00;10:00;3,21;131;1;1;1;1;;1;1;1;1;1;1;1;;1;1;0,5;0,5;0,5;0,5;0,5;0,5;1;1;1;1;0,5;0,5;21,0;1.790;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;28;0,0;;;;;;;;;;;;;;;;0;;;;;
166;2018-06-26;27:05:00;19:40;19:00;3,02;54;5;6;4;8;;1;0,5;9;7;5;;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;1;1;0,5;1;0,5;0,5;55,0;1.509;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;12;0,0;;;;;;;;;;;;;;;;0;;;;;
167;2018-06-27;24:15:00;1:00;21:00;2,99;31;2;2;2;2;;1;1;2;2;2;4;;4;0,5;2;0,5;0,5;0,5;0,5;3;2;3;3;2;2;;;43,5;3.256;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;21;0,0;;;;;;;;;;;;;;;;0;;;;;
168;2018-06-28;24:30:00;8:30;5:00;3,07;26;0,5;0,5;0,5;0,5;;0,5;0,5;0,5;0,5;0,5;0,5;;0,5;0,5;0,5;0,5;0,5;0,5;0,5;1;1;1;5;1;2;1;1;21,5;2.452;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;28;0,0;;;;;;;;;;;;;;;;0;;;;;
169;2018-06-29;28:00:00;10:30;7:00;3,13;28;0,5;0,5;0,5;0,5;;0,5;0,5;0,5;0,5;0,5;0,5;;0,5;0,5;0,5;0,5;0,5;0,5;0,5;1;1;1;1;1;1;1;1;16,5;2.215;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;21;0,0;;;;;;;;;;;;;;;;0;;;;;
170;2018-07-02;23:50:00;15:00;11:00;2,94;221;0,5;0,5;0,5;0,5;;1;1;0,5;0,5;;0,5;;1;1;1;1;1;1;1;1;3;2;1;1;1;1;1;23,5;2.280;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;19;0,0;;;;;;;;;;;;;;;;0;;;;;
171;2018-07-03;21:55:00;19:50;15:00;2,96;74;1;0;1;2;;1;1;0;1;1;2;;1;0;0;1;1;1;1;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;19,0;2.541;;;;;;;;;;;;;;;;;;0;;;;;;;4;0,5;;;;;;;15;0,0;;;;;;;;;;;;;;;;0;;;;;
172;2018-07-04;25:30:00;22:00;18:00;2,83;50;0,5;0,5;8;12;;1;1;0,5;0,5;0,5;12;;13;1;1;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;57,5;2.127;;;;;;;;;;;;;;;;;;0;;;;;;;4;1,0;;;;;;;8;0,0;;;;;;;;;;;;;;;;0;;;;;
173;2018-07-05;29:10:00;0:30;22:00;3,10;46;1;;3;3;3;3;;3;7;3;1;3;7;3;6;0,5;0,5;0,5;0,5;5;5;5;5;5;5;1;1;80,0;2.444;;;;;;;;;;;;;;;;;;0;;;;;;;2;1,0;;;;;;;36;0,0;;;;;;;;;;;;;;;;0;;;;;
174;2018-07-06;29:20:00;9:30;10:40;3,24;284;0,5;2;4;6;1;0,5;0,5;0,5;2;4;2;1;2;0,5;0,5;0,5;0,5;0,5;0,5;1;1;1;1;1;1;1;1;37,0;1.691;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;40;0,0;;;;;;;;;;;;;;;;0;;;;;
175;2018-07-07;21:20:00;17:00;10:00;3,33;51;;0,5;1;2;0,5;0,5;0,5;0,5;1;1;0,5;0,5;2;0,5;0,5;1;1;1;1;1;1;2;2;0,5;0,5;0,5;0,5;23,5;2.233;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;16;0,0;;;;;;;;;;;;;;;;0;;;;;
176;2018-07-08;22:30:00;17:30;12:00;3,43;150;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0,5;0,5;0,5;0,5;2;2;2;2;2;2;2;2;46,0;2.102;;;;;;;;;;;;;;;;;;0;;;;;;;4;0,5;;;;;;;24;0,0;;;;;;;;;;;;;;;;0;;;;;
177;2018-07-09;27:00:00;18:30;18:00;3,05;77;;2;2;2;2;2;4;2;4;2;6;2;6;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;3;0,5;0,5;45,5;2.485;;;;;;;;;;;;;;;;;;0;;;;;;;2;1,0;;;;;;;23;0,0;;;;;;;;;;;;;;;;0;;;;;
178;2018-07-11;24:00:00;23:30;20:00;2,80;31;;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;1;1;1;1;0,5;0,5;0,5;0,5;15,0;1.551;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;13;0,0;;;;;;;;;;;;;;;;0;;;;;
179;2018-07-13;25:45:00;1:30;21:30;2,87;29;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,5;0,5;0,5;0,5;2;2;2;2;2;2;2;2;32,0;1.388;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;22;0,0;;;;;;;;;;;;;;;;0;;;;;
180;2018-07-14;26:00:00;4:00;20:30;3,62;36;0,5;;7;1;1;1;1;1;1;1;1;1;1;1;1;0,5;0,5;0,5;0,5;3;2;2;3;2;2;2;2;39,5;1.991;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;34;0,0;;;;;;;;;;;;;;;;0;;;;;
181;2018-07-15;22:20:00;8:50;1:00;2,92;25;0,5;;1;1;1;1;1;0,5;1;1;1;1;4;1;1;2;2;0,5;0,5;1;1;1;1;1;1;0,5;0,5;28,0;1.962;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;25;0,0;;;;;;;;;;;;;;;;0;;;;;
182;2018-07-16;27:10:00;10:50;9:00;3,07;44;0,5;0,5;0,5;0,5;0,5;1;;0,5;0,5;0,5;0,5;0,5;;2;3;2;1;0,5;0,5;7;7;8;8;8;8;3;3;67,0;2.495;;;;;;;;;;;;;;;;;;0;;;;;;;5;0,5;;;;;;;59;0,0;;;;;;;;;;;;;;;;0;;;;;
183;2018-07-17;31:00:00;15:00;11:00;3,12;48;0,5;0,5;1;0,5;2;2;;0,5;1;0,5;0,5;0,5;;6;6;0,5;0,5;0,5;0,5;3;3;3;3;7;7;1;1;51,5;2.594;;;;;;;;;;;;;;;;;;0;;;;;;;4;1,3;;;;;;;80;0,0;;;;;;;;;;;;;;;;0;;;;;
184;2018-07-18;25:00:00;23:30;18:00;2,90;88;0,5;0,5;3;3;0,5;3;3;0,5;2;3;3;3;;0,5;0,5;0,5;0,5;0,5;0,5;2;2;2;2;2;2;2;2;44,0;2.533;;;;;;;;;;;;;;;;;;0;;;;;;;2;1,0;;;;;;;44;0,0;;;;;;;;;;;;;;;;0;;;;;
185;2018-07-20;23:00:00;2:00;21:30;2,93;90;0,5;0,5;5;0,5;1;0,5;0,5;0,5;0,5;4;0,5;1;;0,5;1;3;3;3;3;1;1;1;1;3;3;0,5;;39,0;1.819;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;27;0,0;;;;;;;;;;;;;;;;0;;;;;
186;2018-07-21;25:00:00;2:00;21:00;3,10;80;0,5;0,5;8;5;0,5;2;2;0,5;0,5;8;3;2;10;1;1;0,5;0,5;0,5;0,5;2;2;3;3;1;1;0,5;;59,0;1.714;;;;;;;;;;;;;;;;;;0;;;;;;;12;0,5;;;;;;;23;0,0;;;;;;;;;;;;;;;;0;;;;;
187;2018-07-22;26:00:00;3:30;0:00;2,99;38;0,5;0,5;0,5;0,5;1;1;0,5;1;0,5;0,5;0,5;0,5;2;1;1;0,5;0,5;0,5;0,5;1;1;2;2;1;1;;;21,5;1.988;;;;;;;;;;;;;;;;;;0;;;;;;;2;3,0;;;;;;;21;0,0;;;;;;;;;;;;;;;;0;;;;;
188;2018-07-23;23:10:00;7:20;1:00;3,03;108;0,5;6;5;7;;2;3;0,5;0,5;5;5;2;5;2;4;0,5;0,5;0,5;0,5;1;1;1;1;1;1;1;;56,5;2.609;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;15;0,0;;;;;;;;;;;;;;;;0;;;;;
189;2018-07-24;33:45:00;9:00;14:00;3,05;49;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;0,5;0,5;1;1;1;1;1;3;3;3;1;;30,0;2.126;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;20;0,0;;;;;;;;;;;;;;;;0;;;;;
190;2018-07-25;24:00:00;21:00;15:00;3,02;76;2;2;2;2;;0,5;0,5;3;1;1;1;1;1;1;1;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;;24,5;2.321;;;;;;;;;;;;;;;;;;0;;;;;;;3;0,5;;;;;;;17;0,0;;;;;;;;;;;;;;;;0;;;;;
191;2018-07-26;25:20:00;23:30;17:00;2,96;53;1;7;5;5;1;1;;5;7;8;8;5;5;1;1;0,5;0,5;0,5;0,5;1;1;1;2;2;1;1;;71,0;1.796;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,8;;;;;;;13;0,0;;;;;;;;;;;;;;;;0;;;;;
192;2018-07-27;27:00:00;7:00;1:30;2,88;35;3;3;3;9;3;3;3;3;9;9;9;10;12;1;1;0,5;0,5;0,5;0,5;0,5;0,5;7;7;5;5;1;;109,0;4.857;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;35;0,0;;;;;;;;;;;;;;;;0;;;;;
193;2018-07-29;39:30:00;9:00;9:00;3,04;33;;;;;;2;2;;;;;;;8;8;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;3;3;;;30,0;0;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;34;0,0;;;;;;;;;;;;;;;;0;;;;;
194;2018-08-03;25:00:00;19:30;16:00;3,10;102;0,5;0,5;0,5;1;;1;1;0,5;0,5;0,5;1;2;1;1;5;1;1;0,5;0,5;3;3;2;2;3;3;1;1;37,0;1.279;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;26;0,0;;;;;;;;;;;;;;;;0;;;;;
195;2018-08-04;26:15:00;20:30;20:00;3,15;78;0,5;0,5;0,5;0,5;;0,5;0,5;0,5;0,5;0,5;0,5;2;;0,5;0,5;0;0;0;0;2;2;2;2;3;4;5;2;30,0;2.081;;;;;;;;;;;;;;;;;;0;;;;;;;3;0,5;;;;;;;40;0,0;;;;;;;;;;;;;;;;0;;;;;
196;2018-08-06;24:30:00;4:30;1:00;2,93;84;1;1;1;2;1;1;1;1;1;1;2;2;;1;1;0,5;0,5;0,5;0,5;3;3;5;4;4;3;2;;43,0;2.201;;;;;;;;;;;;;;;;;;0;;;;;;;0;0,8;;;;;;;46;0,0;;;;;;;;;;;;;;;;0;;;;;
197;2018-08-07;28:45:00;8:00;4:00;3,12;95;1;1;1;1;2;5;2;1;1;1;1;5;;2;5;0,5;0,5;0,5;0,5;1;1;1;1;1;3;1;;40,0;2.466;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,0;;;;;;;33;0,0;;;;;;;;;;;;;;;;0;;;;;
198;2018-08-08;35:00:00;13:00;14:00;3,08;33;1;1;20;8;1;1;1;1;1;4;1;10;;1;1;0,5;0,5;0,5;0,5;3;2;1;1;1;2;1;;65,0;2.230;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;20;0,0;;;;;;;;;;;;;;;;0;;;;;
199;2018-08-09;29:50:00;2:00;14:00;2,90;60;1;1;1;5;1;1;1;1;1;1;1;8;;1;1;0,5;0,5;0,5;0,5;2;2;2;2;2;2;2;;41,0;1.664;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;25;0,0;;;;;;;;;;;;;;;;0;;;;;
200;2018-08-11;26:30:00;15:00;13:00;3,04;37;1;1;1;1;;0,5;0,5;1;1;1;1;;;1;1;0,5;0,5;0,5;0,5;2;2;3;3;2;3;2;2;32,0;2.923;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;33;0,0;;;;;;;;;;;;;;;;0;;;;;
201;2018-08-12;27:00:00;19:30;16:00;3,03;26;0,5;0,5;1;1;;1;1;0,5;0,5;1;1;1;1;1;1;0,5;0,5;0,5;0,5;2;2;2;2;2;2;;2;28,0;1.996;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;33;0,0;;;;;;;;;;;;;;;;0;;;;;
202;2018-08-13;23:30:00;2:00;22:00;2,94;103;0,5;0,5;0,5;0,5;0,5;0,5;0,5;2;0,5;0,5;0,5;0,5;0,5;0,5;;0,5;0,5;0,5;0,5;1;1;1;0,5;0,5;0,5;;;15,0;2.010;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;19;0,0;;;;;;;;;;;;;;;;0;;;;;
203;2018-08-14;25:40:00;4:00;1:00;2,93;111;1;1;2;4;1;0,5;0,5;1;1;1;3;3;1;0,5;;0,5;0,5;0,5;0,5;1;2;2;2;2;2;;;33,5;3.201;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;16;0,0;;;;;;;;;;;;;;;;0;;;;;
204;2018-08-15;29:30:00;8:00;7:30;3,16;90;2;2;3;3;0,5;0,5;0,5;2;2;2;1;1;1;0,5;;0,5;0,5;0,5;0,5;0,5;0,5;2;2;3;3;;;34,0;2.818;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;22;0,0;;;;;;;;;;;;;;;;0;;;;;
205;2018-08-17;26:30:00;17:00;12:00;3,13;162;1;1;1;2;1;2;1;1;1;0,5;0,5;1;1;0,5;;0,5;0,5;0,5;0,5;1;1;1;1;1;2;;;23,5;2.101;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;18;0,0;;;;;;;;;;;;;;;;0;;;;;
206;2018-08-18;28:30:00;20:50;16:00;3,05;23;0,5;2;2;2;2;0,5;0,5;0,5;0,5;0,5;1;1;0,5;0,5;0,5;4;4;4;4;5;3;4;2;3;3;1;;51,5;2.659;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;28;0,0;;;;;;;;;;;;;;;;0;;;;;
207;2018-08-20;30:10:00;2:00;21:00;2,84;47;0,5;4;4;2;0,5;0,5;1;4;4;4;3;4;1;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;;;38,5;2.414;;;;;;;;;;;;;;;;;;0;;;;;;;16;0,5;;;;;;;24;0,0;;;;;;;;;;;;;;;;0;;;;;
208;2018-08-21;24:55:00;9:30;6:00;2,75;87;;1;2;1;0,5;1;1;;0,5;1;0,5;2;2;1;2;0,5;0,5;0,5;0,5;0,5;0,5;3;0,5;0,5;0,5;;;23,0;2.678;;;;;;;;;;;;;;;;;;0;;;;;;;2;4,0;;;;;;;9;0,0;;;;;;;;;;;;;;;;0;;;;;
209;2018-08-22;25:45:00;13:00;8:00;2,99;37;1;;1;1;0,5;0,5;0,5;1;;1;1;0,5;7;0,5;;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;;21,0;3.158;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;9;0,0;;;;;;;;;;;;;;;;0;;;;;
210;2018-08-23;25:15:00;16:00;12:00;3,01;60;1;1;1;6;1;2;2;1;1;1;1;1;1;2;2;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;;;29,0;2.633;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;7;0,0;;;;;;;;;;;;;;;;0;;;;;
211;2018-08-24;29:45:00;19:30;17.00;2,99;82;3;3;3;5;4;3;3;3;3;7;6;11;15;3;3;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;;;80,0;2.746;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;6;0,0;;;;;;;;;;;;;;;;0;;;;;
212;2018-08-25;27:30:00;3:00;23:00;2,92;70;1;2;2;4;3;1;2;3;2;1;1;1;1;2;3;0,5;0,5;0,5;0,5;1;1;1;1;1;1;;;37,0;3.034;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;9;0,0;;;;;;;;;;;;;;;;0;;;;;
213;2018-08-26;29:15:00;7:30;7:20;2,89;45;0,5;2;0,5;5;1;0,5;1;0,5;1;0,5;0,5;0,5;6;1;1;0,5;0,5;0,5;0,5;0,5;1;0,5;0,5;0,5;0,5;;;27,0;2.938;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;10;0,0;;;;;;;;;;;;;;;;0;;;;;
214;2018-08-28;30:55:00;15:00;13:00;2,91;68;0,5;2;9;11;1;2;0,5;0,5;3;9;1;1;1;0,5;1;0,5;0,5;0,5;0,5;1;1;1;1;1;1;;;51,0;2.862;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;10;0,0;;;;;;;;;;;;;;;;0;;;;;
215;2018-08-30;30:50:00;23:00;22:30;2,60;90;2;2;2;1;2;1;1;0,5;0,5;0,5;0,5;1;7;1;6;0,5;0,5;0,5;0,5;2;3;2;2;3;4;1;1;48,0;2.878;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;24;0,0;;;;;;;;;;;;;;;;0;;;;;
216;2018-08-31;30:30:00;9:00;8:00;3,10;75;1;2;1;1;2;1;1;2;1;4;4;6;4;2;1;0,5;0,5;0,5;0,5;4;4;2;2;2;2;;;51,0;2.287;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;34;0,0;;;;;;;;;;;;;;;;0;;;;;
217;2018-09-01;26:20:00;17:30;14:00;2,96;80;4;2;3;2;4;4;2;2;2;3;4;4;2;1;2;0,5;0,5;0,5;0,5;2;3;2;2;3;2;;;57,0;1.819;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;30;0,0;;;;;;;;;;;;;;;;0;;;;;
218;2018-09-02;33:50:00;21:00;19:00;3,08;87;0.5;3;4;0.5;1;1;1;0.5;0.5;0.5;0.5;1;5;1;1;0,5;0,5;0,5;0,5;3;3;4;3;7;10;;;50,0;2.658;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;44;0,0;;;;;;;;;;;;;;;;0;;;;;
219;2018-09-04;27:00:00;8:30;6:00;2,77;60;;2,5;2,5;2,5;2,5;1;1;2,5;2,5;2,5;2,5;2,5;2,5;1;1;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;;;34,0;3.993;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;33;0,0;;;;;;;;;;;;;;;;0;;;;;
220;2018-09-05;33:50:00;15:00;15:00;2,91;19;0,5;0,5;2;1;1;3;1;0,5;4;2;0,5;1;2;1;1;0,5;0,5;0,5;0,5;1;1;1;1;1;1;;;29,0;3.405;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;9;0,0;;;;;;;;;;;;;;;;0;;;;;
221;2018-09-06;28:30:00;3:00;0:00;3,07;174;0,5;1;1;1;1;1;2;0,5;0,5;0,5;0,5;0,5;3;2;2;0,5;0,5;0,5;0,5;1;1;2;1;1;1;;;26,0;3.380;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;13;0,0;;;;;;;;;;;;;;;;0;;;;;
222;2018-09-08;26:40:00;10:00;6:00;3,18;40;1;1;1;2;1;2;2;1;1;4;1;2;2;3;4;1;1;1;1;1;1;1;1;1;1;;;38,0;2.300;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;13;0,0;;;;;;;;;;;;;;;;0;;;;;
223;2018-09-09;25:45:00;14:30;8:00;3,08;52;0,5;0,5;0,5;3;4;2;4;0,5;0,5;3;2;3;1;1;4;0,5;0,5;0,5;0,5;1;1;1;1;0,5;0,5;;;36,5;2.793;;;;;;;;;;;;;;;;;;0;;;;;;;4;0,5;;;;;;;11;0,0;;;;;;;;;;;;;;;;0;;;;;
224;2018-09-10;26:20:00;17:00;15:00;2,98;2,24;0,5;0,5;1;2;0,5;1;2;;0,5;0,5;1;3;1;1;2;0,5;0,5;0,5;0,5;4;4;5;6;4;3;;;44,5;3.049;;;;;;;;;;;;;;;;;;0;;;;;;;2;1,0;;;;;;;31;0,0;;;;;;;;;;;;;;;;0;;;;;
225;2018-09-11;24:20:00;1:00;19:15;2,70;35;;1;2;1;3;1;1;1;;1;2;2;4;1;2;0,5;0,5;0,5;0,5;2;2;2;2;2;2;;;36,0;2.285;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;38;0,0;;;;;;;;;;;;;;;;0;;;;;
226;2018-09-13;21:35:00;3:30;21:00;2,90;50;;;1;1;0,5;0,5;0,5;;;1;0,5;1;1;0,5;0,5;0,5;0,5;0,5;0,5;4;4;4;4;4;4;;;34,0;1.889;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;36;0,0;;;;;;;;;;;;;;;;0;;;;;
227;2018-09-14;23:40:00;18:00;14:40;2,93;24;;1;1;1;1;1;1;;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;;;19,0;1.803;;;;;;;;;;;;;;;;;;0;;;;;;;2;0,5;;;;;;;30;0,0;;;;;;;;;;;;;;;;0;;;;;
